Voltage, ChA, Run #13
Time ( s )	Voltage ( V )
0.0000	0.013
0.1000	-0.002
0.2000	-0.003
0.3000	0.000
0.4000	-0.007
0.5000	-0.017
0.6000	-0.023
0.7000	-0.030
0.8000	-0.023
0.9000	-0.035
1.0000	-0.039
1.1000	-0.039
1.2000	-0.046
1.3000	-0.043
1.4000	-0.052
1.5000	-0.059
1.6000	-0.049
1.7000	-0.044
1.8000	-0.061
1.9000	-0.055
2.0000	-0.061
2.1000	-0.048
2.2000	-0.043
2.3000	-0.043
2.4000	-0.026
2.5000	-0.019
2.6000	-0.025
2.7000	-0.014
2.8000	0.001
2.9000	0.009
3.0000	0.035
3.1000	0.066
3.2000	0.097
3.3000	0.135
3.4000	0.167
3.5000	0.191
3.6000	0.214
3.7000	0.231
3.8000	0.237
3.9000	0.236
4.0000	0.227
4.1000	0.224
4.2000	0.211
4.3000	0.208
4.4000	0.197
4.5000	0.191
4.6000	0.180
4.7000	0.170
4.8000	0.164
4.9000	0.153
5.0000	0.138
5.1000	0.121
5.2000	0.121
5.3000	0.105
5.4000	0.088
5.5000	0.087
5.6000	0.071
5.7000	0.051
5.8000	0.046
5.9000	0.033
6.0000	0.020
6.1000	0.019
6.2000	0.011
6.3000	-0.005
6.4000	-0.022
6.5000	-0.033
6.6000	-0.046
6.7000	-0.061
6.8000	-0.063
6.9000	-0.070
7.0000	-0.081
7.1000	-0.090
7.2000	-0.105
7.3000	-0.113
7.4000	-0.120
7.5000	-0.129
7.6000	-0.139
7.7000	-0.144
7.8000	-0.149
7.9000	-0.147
8.0000	-0.161
8.1000	-0.171
8.2000	-0.182
8.3000	-0.176
8.4000	-0.181
8.5000	-0.187
8.6000	-0.183
8.7000	-0.187
8.8000	-0.185
8.9000	-0.196
9.0000	-0.196
9.1000	-0.191
9.2000	-0.189
9.3000	-0.187
9.4000	-0.187
9.5000	-0.180
9.6000	-0.176
9.7000	-0.177
9.8000	-0.177
9.9000	-0.164
10.0000	-0.159
10.1000	-0.152
10.2000	-0.146
10.3000	-0.138
10.4000	-0.130
10.5000	-0.131
10.6000	-0.124
10.7000	-0.118
10.8000	-0.103
10.9000	-0.097
11.0000	-0.093
11.1000	-0.089
11.2000	-0.076
11.3000	-0.076
11.4000	-0.073
11.5000	-0.064
11.6000	-0.057
11.7000	-0.052
11.8000	-0.047
11.9000	-0.042
12.0000	-0.037
12.1000	-0.036
12.2000	-0.034
12.3000	-0.027
12.4000	-0.022
12.5000	-0.017
12.6000	-0.015
12.7000	-0.014
12.8000	-0.009
12.9000	-0.008
13.0000	-0.009
13.1000	-0.005
13.2000	0.003
13.3000	0.006
13.4000	0.008
13.5000	0.008
13.6000	0.012
13.7000	0.015
13.8000	0.014
13.9000	0.018
14.0000	0.022
14.1000	0.027
14.2000	0.028
14.3000	0.032
14.4000	0.034
14.5000	0.039
14.6000	0.039
14.7000	0.042
14.8000	0.050
14.9000	0.054
15.0000	0.054
15.1000	0.052
15.2000	0.060
15.3000	0.067
15.4000	0.067
15.5000	0.067
15.6000	0.075
15.7000	0.082
15.8000	0.082
15.9000	0.082
16.0000	0.080
16.1000	0.085
16.2000	0.089
16.3000	0.086
16.4000	0.092
16.5000	0.099
16.6000	0.092
16.7000	0.092
16.8000	0.095
16.9000	0.096
17.0000	0.093
17.1000	0.086
17.2000	0.096
17.3000	0.092
17.4000	0.089
17.5000	0.083
17.6000	0.091
17.7000	0.080
17.8000	0.078
17.9000	0.074
18.0000	0.074
18.1000	0.073
18.2000	0.064
18.3000	0.059
18.4000	0.062
18.5000	0.055
18.6000	0.048
18.7000	0.050
18.8000	0.045
18.9000	0.041
19.0000	0.035
19.1000	0.026
19.2000	0.028
19.3000	0.023
19.4000	0.011
19.5000	0.012
19.6000	0.005
19.7000	0.002
19.8000	0.005
19.9000	-0.004
20.0000	-0.009
20.1000	-0.018
20.2000	-0.018
20.3000	-0.025
20.4000	-0.029
20.5000	-0.030
20.6000	-0.030
20.7000	-0.037
20.8000	-0.044
20.9000	-0.041
21.0000	-0.044
21.1000	-0.050
21.2000	-0.053
21.3000	-0.054
21.4000	-0.059
21.5000	-0.056
21.6000	-0.062
21.7000	-0.062
21.8000	-0.063
21.9000	-0.062
22.0000	-0.064
22.1000	-0.068
22.2000	-0.068
22.3000	-0.066
22.4000	-0.068
22.5000	-0.067
22.6000	-0.062
22.7000	-0.071
22.8000	-0.073
22.9000	-0.066
23.0000	-0.060
23.1000	-0.061
23.2000	-0.066
23.3000	-0.067
23.4000	-0.056
23.5000	-0.054
23.6000	-0.057
23.7000	-0.058
23.8000	-0.058
23.9000	-0.047
24.0000	-0.045
24.1000	-0.048
24.2000	-0.051
24.3000	-0.040
24.4000	-0.039
24.5000	-0.041
24.6000	-0.037
24.7000	-0.033
24.8000	-0.028
24.9000	-0.031
25.0000	-0.027
25.1000	-0.026
25.2000	-0.026
25.3000	-0.023
25.4000	-0.021
25.5000	-0.010
25.6000	-0.011
25.7000	-0.013
25.8000	-0.008
25.9000	-0.004
26.0000	-0.007
26.1000	-0.007
26.2000	-0.002
26.3000	0.003
26.4000	0.006
26.5000	0.008
26.6000	0.006
26.7000	0.011
26.8000	0.006
26.9000	0.015
27.0000	0.014
27.1000	0.010
27.2000	0.018
27.3000	0.026
27.4000	0.029
27.5000	0.021
27.6000	0.018
27.7000	0.027
27.8000	0.027
27.9000	0.030
28.0000	0.031
28.1000	0.035
28.2000	0.031
28.3000	0.035
28.4000	0.034
28.5000	0.037
28.6000	0.033
28.7000	0.035
28.8000	0.044
28.9000	0.043
29.0000	0.035
29.1000	0.035
29.2000	0.037
29.3000	0.040
29.4000	0.039
29.5000	0.033
29.6000	0.044
29.7000	0.039
29.8000	0.041
29.9000	0.038
30.0000	0.036
30.1000	0.031
30.2000	0.030
30.3000	0.039
30.4000	0.038
30.5000	0.033
30.6000	0.024
30.7000	0.029
30.8000	0.027
30.9000	0.026
31.0000	0.021
31.1000	0.025
31.2000	0.024
31.3000	0.020
31.4000	0.015
31.5000	0.013
31.6000	0.014
31.7000	0.007
31.8000	0.010
31.9000	0.015
32.0000	0.008
32.1000	0.009
32.2000	-0.001
32.3000	0.003
32.4000	0.000
32.5000	-0.006
32.6000	-0.006
32.7000	0.002
32.8000	-0.003
32.9000	-0.004
33.0000	-0.013
33.1000	-0.011
33.2000	-0.017
33.3000	-0.016
33.4000	-0.015
33.5000	-0.014
33.6000	-0.019
33.7000	-0.019
33.8000	-0.020
33.9000	-0.021
34.0000	-0.026
34.1000	-0.028
34.2000	-0.026
34.3000	-0.021
34.4000	-0.024
34.5000	-0.031
34.6000	-0.026
34.7000	-0.031
34.8000	-0.028
34.9000	-0.029
35.0000	-0.030
35.1000	-0.031
35.2000	-0.025
35.3000	-0.025
35.4000	-0.024
35.5000	-0.034
35.6000	-0.033
35.7000	-0.025
35.8000	-0.025
35.9000	-0.026
36.0000	-0.026
36.1000	-0.026
36.2000	-0.026
36.3000	-0.021
36.4000	-0.025
36.5000	-0.023
36.6000	-0.024
36.7000	-0.021
36.8000	-0.019
36.9000	-0.017
37.0000	-0.017
37.1000	-0.019
37.2000	-0.020
37.3000	-0.013
37.4000	-0.006
37.5000	-0.017
37.6000	-0.013
37.7000	-0.010
37.8000	-0.006
37.9000	-0.007
38.0000	-0.013
38.1000	-0.005
38.2000	-0.002
38.3000	-0.003
38.4000	-0.004
38.5000	0.003
38.6000	-0.002
38.7000	0.001
38.8000	0.002
38.9000	0.006
39.0000	0.005
39.1000	0.003
39.2000	0.003
39.3000	0.008
39.4000	0.002
39.5000	0.010
39.6000	0.013
39.7000	0.004
39.8000	0.010
39.9000	0.016
40.0000	0.014
40.1000	0.014
40.2000	0.009
40.3000	0.016
40.4000	0.018
40.5000	0.011
40.6000	0.012
40.7000	0.015
40.8000	0.017
40.9000	0.017
41.0000	0.016
41.1000	0.016
41.2000	0.016
41.3000	0.021
41.4000	0.015
41.5000	0.013
41.6000	0.011
41.7000	0.020
41.8000	0.011
41.9000	0.022
42.0000	0.017
42.1000	0.019
42.2000	0.010
42.3000	0.022
42.4000	0.020
42.5000	0.011
42.6000	0.013
42.7000	0.010
42.8000	0.012
42.9000	0.010
43.0000	0.011
43.1000	0.011
43.2000	0.009
43.3000	0.000
43.4000	0.014
43.5000	0.018
43.6000	0.009
43.7000	-0.001
43.8000	0.002
43.9000	0.010
44.0000	0.009
44.1000	0.004
44.2000	-0.001
44.3000	0.010
44.4000	0.001
44.5000	-0.006
44.6000	0.000
44.7000	-0.003
44.8000	0.000
44.9000	-0.004
45.0000	-0.005
45.1000	0.007
45.2000	0.002
45.3000	-0.013
45.4000	-0.010
45.5000	-0.011
45.6000	-0.009
45.7000	-0.014
45.8000	-0.001
45.9000	-0.004
46.0000	-0.011
46.1000	-0.019
46.2000	-0.015
46.3000	-0.002
46.4000	-0.012
46.5000	-0.017
46.6000	-0.017
46.7000	-0.018
46.8000	-0.004
46.9000	-0.012
47.0000	-0.020
47.1000	-0.021
47.2000	-0.003
47.3000	-0.011
47.4000	-0.011
47.5000	-0.009
47.6000	-0.021
47.7000	-0.021
47.8000	-0.005
47.9000	-0.014
48.0000	-0.013
48.1000	-0.010
48.2000	-0.014
48.3000	-0.003
48.4000	-0.003
48.5000	-0.018
48.6000	-0.021
48.7000	-0.016
48.8000	-0.003
48.9000	0.001
49.0000	-0.006
49.1000	-0.015
49.2000	-0.004
49.3000	-0.010
49.4000	-0.003
49.5000	-0.010
49.6000	-0.012
49.7000	-0.007
49.8000	0.004
49.9000	0.000
50.0000	-0.006
50.1000	-0.005
50.2000	-0.009
50.3000	0.005
50.4000	0.005
50.5000	-0.006
50.6000	0.001
50.7000	0.006
50.8000	-0.001
50.9000	0.014
51.0000	-0.009
51.1000	-0.006
51.2000	0.001
51.3000	0.012
51.4000	0.012
51.5000	0.004
51.6000	-0.007
51.7000	0.006
51.8000	0.008
51.9000	0.009
52.0000	0.007
52.1000	0.001
52.2000	0.009
52.3000	0.013
52.4000	0.014
52.5000	-0.002
52.6000	-0.004
52.7000	0.006
52.8000	0.017
52.9000	0.010
53.0000	0.010
53.1000	0.001
53.2000	0.008
53.3000	0.012
53.4000	0.008
53.5000	0.006
53.6000	0.004
53.7000	0.008
53.8000	0.008
53.9000	0.010
54.0000	0.002
54.1000	0.005
54.2000	0.006
54.3000	0.008
54.4000	0.013
54.5000	0.008
54.6000	0.005
54.7000	0.004
54.8000	0.009
54.9000	0.007
55.0000	0.004
55.1000	-0.002
55.2000	0.008
55.3000	0.009
55.4000	0.003
55.5000	0.000
55.6000	0.002
55.7000	0.000
55.8000	0.002
55.9000	0.002
56.0000	0.000
56.1000	0.000
56.2000	-0.002
56.3000	0.004
56.4000	0.003
56.5000	-0.005
56.6000	-0.006
56.7000	-0.004
56.8000	0.000
56.9000	0.003
57.0000	-0.005
57.1000	-0.004
57.2000	-0.004
57.3000	-0.006
57.4000	-0.006
57.5000	-0.007
57.6000	-0.007
57.7000	-0.006
57.8000	-0.010
57.9000	-0.002
58.0000	-0.001
58.1000	-0.012
58.2000	-0.013
58.3000	-0.005
58.4000	-0.002
58.5000	-0.009
58.6000	-0.017
58.7000	-0.009
58.8000	0.000
58.9000	-0.001
59.0000	-0.009
59.1000	-0.011
59.2000	-0.014
59.3000	-0.006
59.4000	-0.005
59.5000	-0.008
59.6000	-0.004
59.7000	-0.010
59.8000	-0.004
59.9000	0.000
60.0000	-0.006
60.1000	-0.009
60.2000	-0.013
60.3000	-0.008
60.4000	-0.002
60.5000	-0.005
60.6000	-0.008
60.7000	-0.004
60.8000	-0.007
60.9000	-0.003
61.0000	-0.004
61.1000	-0.008
61.2000	-0.005
61.3000	0.001
61.4000	0.000
61.5000	-0.005
61.6000	-0.006
61.7000	-0.007
61.8000	0.003
61.9000	-0.003
62.0000	-0.001
62.1000	-0.001
62.2000	-0.004
62.3000	-0.003
62.4000	0.002
62.5000	-0.003
62.6000	-0.003
62.7000	0.000
62.8000	-0.003
62.9000	0.006
63.0000	0.006
63.1000	0.005
63.2000	-0.008
63.3000	-0.006
63.4000	0.003
63.5000	0.007
63.6000	0.004
63.7000	0.002
63.8000	-0.002
63.9000	0.002
64.0000	0.005
64.1000	0.005
64.2000	0.000
64.3000	-0.002
64.4000	0.002
64.5000	0.011
64.6000	0.007
64.7000	-0.005
64.8000	0.000
64.9000	0.006
65.0000	0.005
65.1000	0.006
65.2000	0.003
65.3000	0.004
65.4000	0.004
65.5000	0.003
65.6000	0.002
65.7000	0.005
65.8000	-0.003
65.9000	0.005
66.0000	0.008
66.1000	0.007
66.2000	0.004
66.3000	-0.003
66.4000	-0.002
66.5000	0.006
66.6000	0.005
66.7000	0.000
66.8000	0.001
66.9000	0.003
67.0000	0.004
67.1000	0.000
67.2000	-0.004
67.3000	-0.002
67.4000	0.000
67.5000	0.004
67.6000	0.005
67.7000	0.002
67.8000	-0.006
67.9000	-0.004
68.0000	-0.004
68.1000	0.000
68.2000	-0.002
68.3000	-0.002
68.4000	-0.001
68.5000	0.007
68.6000	-0.006
68.7000	-0.005
68.8000	-0.005
68.9000	-0.003
69.0000	-0.005
69.1000	-0.003
69.2000	-0.003
69.3000	-0.002
69.4000	-0.003
69.5000	-0.006
69.6000	-0.003
69.7000	-0.009
69.8000	-0.007
69.9000	-0.002
70.0000	-0.005
70.1000	0.001
70.2000	-0.007
70.3000	-0.010
70.4000	-0.007
70.5000	0.000
70.6000	-0.005
70.7000	-0.006
70.8000	-0.002
70.9000	-0.005
71.0000	0.000
71.1000	-0.009
71.2000	-0.005
71.3000	-0.006
71.4000	-0.005
71.5000	-0.005
71.6000	0.004
71.7000	-0.008
71.8000	-0.006
71.9000	-0.002
72.0000	-0.002
72.1000	0.000
72.2000	-0.005
72.3000	-0.006
72.4000	0.003
72.5000	-0.003
72.6000	-0.003
72.7000	-0.006
72.8000	-0.003
72.9000	-0.009
73.0000	0.002
73.1000	0.002
73.2000	-0.004
73.3000	-0.003
73.4000	-0.003
73.5000	-0.001
73.6000	-0.005
73.7000	-0.005
73.8000	-0.002
73.9000	0.001
74.0000	0.001
