Voltage, ChA, Run #2
Time ( s )	Voltage ( V )
0.0000	-0.018
0.1000	-0.020
0.2000	-0.014
0.3000	-0.028
0.4000	-0.023
0.5000	-0.032
0.6000	-0.027
0.7000	-0.024
0.8000	-0.023
0.9000	-0.020
1.0000	-0.021
1.1000	-0.020
1.2000	-0.027
1.3000	-0.027
1.4000	-0.027
1.5000	-0.030
1.6000	-0.026
1.7000	-0.017
1.8000	-0.022
1.9000	-0.022
2.0000	-0.019
2.1000	-0.022
2.2000	-0.016
2.3000	-0.017
2.4000	-0.013
2.5000	-0.013
2.6000	-0.015
2.7000	-0.005
2.8000	-0.012
2.9000	-0.008
3.0000	-0.008
3.1000	-0.003
3.2000	-0.002
3.3000	0.004
3.4000	-0.003
3.5000	0.003
3.6000	0.004
3.7000	-0.006
3.8000	0.003
3.9000	0.003
4.0000	0.011
4.1000	0.008
4.2000	0.013
4.3000	0.008
4.4000	0.009
4.5000	0.001
4.6000	0.013
4.7000	0.019
4.8000	0.010
4.9000	0.015
5.0000	0.019
5.1000	0.022
5.2000	0.014
5.3000	0.014
5.4000	0.016
5.5000	0.026
5.6000	0.019
5.7000	0.019
5.8000	0.025
5.9000	0.025
6.0000	0.025
6.1000	0.018
6.2000	0.018
6.3000	0.023
6.4000	0.023
6.5000	0.020
6.6000	0.027
6.7000	0.024
6.8000	0.025
6.9000	0.020
7.0000	0.017
7.1000	0.023
7.2000	0.019
7.3000	0.017
7.4000	0.017
7.5000	0.024
7.6000	0.021
7.7000	0.018
7.8000	0.014
7.9000	0.018
8.0000	0.018
8.1000	0.010
8.2000	0.010
8.3000	0.017
8.4000	0.012
8.5000	0.010
8.6000	0.013
8.7000	0.006
8.8000	0.010
8.9000	0.007
9.0000	0.003
9.1000	0.004
9.2000	-0.001
9.3000	0.002
9.4000	0.002
9.5000	0.000
9.6000	0.002
9.7000	0.002
9.8000	-0.005
9.9000	-0.007
10.0000	-0.007
10.1000	-0.009
10.2000	-0.011
10.3000	-0.011
10.4000	-0.008
10.5000	-0.011
10.6000	-0.014
10.7000	-0.012
10.8000	-0.011
10.9000	-0.017
11.0000	-0.020
11.1000	-0.012
11.2000	-0.019
11.3000	-0.025
11.4000	-0.021
11.5000	-0.019
11.6000	-0.023
11.7000	-0.021
11.8000	-0.019
11.9000	-0.020
12.0000	-0.025
12.1000	-0.027
12.2000	-0.018
12.3000	-0.024
12.4000	-0.026
12.5000	-0.023
12.6000	-0.022
12.7000	-0.025
12.8000	-0.023
12.9000	-0.023
13.0000	-0.023
13.1000	-0.019
13.2000	-0.024
13.3000	-0.022
13.4000	-0.023
13.5000	-0.021
13.6000	-0.019
13.7000	-0.023
13.8000	-0.021
13.9000	-0.016
14.0000	-0.019
14.1000	-0.020
14.2000	-0.011
14.3000	-0.020
14.4000	-0.018
14.5000	-0.015
14.6000	-0.010
14.7000	-0.010
14.8000	-0.008
14.9000	-0.007
15.0000	-0.007
15.1000	-0.010
15.2000	-0.013
15.3000	-0.008
15.4000	-0.005
15.5000	0.000
15.6000	0.002
15.7000	0.001
15.8000	0.001
15.9000	-0.004
16.0000	0.000
16.1000	0.000
16.2000	-0.004
16.3000	0.007
16.4000	0.014
16.5000	0.009
16.6000	0.007
16.7000	0.011
16.8000	0.007
16.9000	0.007
17.0000	0.014
17.1000	0.009
17.2000	0.017
17.3000	0.016
17.4000	0.016
17.5000	0.015
17.6000	0.012
17.7000	0.017
17.8000	0.021
17.9000	0.018
18.0000	0.021
18.1000	0.023
18.2000	0.019
18.3000	0.021
18.4000	0.015
18.5000	0.019
18.6000	0.021
18.7000	0.025
18.8000	0.025
18.9000	0.018
19.0000	0.018
19.1000	0.019
19.2000	0.017
19.3000	0.016
19.4000	0.025
19.5000	0.023
19.6000	0.020
19.7000	0.020
19.8000	0.019
19.9000	0.012
20.0000	0.014
20.1000	0.008
20.2000	0.022
20.3000	0.019
20.4000	0.015
20.5000	0.015
20.6000	0.016
20.7000	0.010
20.8000	0.004
20.9000	0.002
21.0000	0.009
21.1000	0.014
21.2000	0.009
21.3000	0.010
21.4000	0.003
21.5000	0.000
21.6000	0.003
21.7000	0.000
21.8000	0.002
21.9000	0.002
22.0000	0.002
22.1000	-0.004
22.2000	-0.003
22.3000	-0.011
22.4000	-0.009
22.5000	-0.007
22.6000	-0.008
22.7000	-0.008
22.8000	-0.003
22.9000	-0.007
23.0000	-0.014
23.1000	-0.015
23.2000	-0.019
23.3000	-0.019
23.4000	-0.018
23.5000	-0.014
23.6000	-0.009
23.7000	-0.015
23.8000	-0.017
23.9000	-0.016
24.0000	-0.023
24.1000	-0.025
24.2000	-0.022
24.3000	-0.022
24.4000	-0.016
24.5000	-0.022
24.6000	-0.020
24.7000	-0.017
24.8000	-0.017
24.9000	-0.026
25.0000	-0.022
25.1000	-0.022
25.2000	-0.018
25.3000	-0.022
25.4000	-0.025
25.5000	-0.021
25.6000	-0.015
25.7000	-0.020
25.8000	-0.017
25.9000	-0.020
26.0000	-0.013
26.1000	-0.019
26.2000	-0.016
26.3000	-0.019
26.4000	-0.014
26.5000	-0.017
26.6000	-0.017
26.7000	-0.010
26.8000	-0.014
26.9000	-0.012
27.0000	-0.014
27.1000	-0.011
27.2000	-0.013
27.3000	-0.004
27.4000	-0.012
27.5000	-0.005
27.6000	-0.006
27.7000	-0.007
27.8000	-0.004
27.9000	-0.001
28.0000	0.001
28.1000	-0.001
28.2000	0.002
28.3000	-0.002
28.4000	0.004
28.5000	-0.002
28.6000	0.007
28.7000	0.006
28.8000	0.008
28.9000	0.007
29.0000	0.013
29.1000	0.007
29.2000	0.010
29.3000	0.009
29.4000	0.011
29.5000	0.015
29.6000	0.009
29.7000	0.015
29.8000	0.015
29.9000	0.015
30.0000	0.016
30.1000	0.021
30.2000	0.016
30.3000	0.017
30.4000	0.017
30.5000	0.018
30.6000	0.019
30.7000	0.011
30.8000	0.022
30.9000	0.021
31.0000	0.017
31.1000	0.016
31.2000	0.022
31.3000	0.013
31.4000	0.019
31.5000	0.011
31.6000	0.024
31.7000	0.019
31.8000	0.022
31.9000	0.017
32.0000	0.018
32.1000	0.015
32.2000	0.013
32.3000	0.016
32.4000	0.010
32.5000	0.016
32.6000	0.013
32.7000	0.012
32.8000	0.015
32.9000	0.012
33.0000	0.005
33.1000	0.006
33.2000	0.006
33.3000	0.008
33.4000	0.006
33.5000	0.007
33.6000	0.006
33.7000	0.006
33.8000	-0.005
33.9000	0.001
34.0000	-0.002
34.1000	0.000
34.2000	-0.003
34.3000	-0.001
34.4000	-0.005
34.5000	-0.009
34.6000	-0.005
34.7000	-0.005
34.8000	-0.008
34.9000	-0.008
35.0000	-0.006
35.1000	0.000
35.2000	-0.010
35.3000	-0.017
35.4000	-0.014
35.5000	-0.015
35.6000	-0.012
35.7000	-0.017
35.8000	-0.010
35.9000	-0.008
36.0000	-0.011
36.1000	-0.023
36.2000	-0.017
36.3000	-0.019
36.4000	-0.020
36.5000	-0.018
36.6000	-0.019
36.7000	-0.011
36.8000	-0.017
36.9000	-0.024
37.0000	-0.023
37.1000	-0.018
37.2000	-0.020
37.3000	-0.015
37.4000	-0.018
37.5000	-0.017
37.6000	-0.015
37.7000	-0.028
37.8000	-0.022
37.9000	-0.014
38.0000	-0.016
38.1000	-0.016
38.2000	-0.012
38.3000	-0.014
38.4000	-0.012
38.5000	-0.021
38.6000	-0.019
38.7000	-0.013
38.8000	-0.009
38.9000	-0.014
39.0000	-0.008
39.1000	-0.010
39.2000	-0.011
39.3000	-0.015
39.4000	-0.014
39.5000	-0.002
39.6000	-0.003
39.7000	-0.006
39.8000	0.000
39.9000	-0.002
40.0000	-0.003
40.1000	-0.007
40.2000	-0.006
40.3000	-0.001
40.4000	0.004
40.5000	-0.003
40.6000	0.001
40.7000	0.008
40.8000	0.004
40.9000	0.002
41.0000	0.004
41.1000	0.008
41.2000	0.009
41.3000	0.009
41.4000	0.006
41.5000	0.014
41.6000	0.009
41.7000	0.006
41.8000	0.010
41.9000	0.015
42.0000	0.013
42.1000	0.018
42.2000	0.007
42.3000	0.016
42.4000	0.010
42.5000	0.012
42.6000	0.015
42.7000	0.018
42.8000	0.020
42.9000	0.018
43.0000	0.015
43.1000	0.011
43.2000	0.019
43.3000	0.008
43.4000	0.013
43.5000	0.017
43.6000	0.018
43.7000	0.016
43.8000	0.024
