Voltage, ChA, Run #25
Time ( s )	Voltage ( V )
0.0000	0.005
0.1000	0.004
0.2000	0.004
0.3000	0.003
0.4000	0.006
0.5000	0.044
0.6000	0.076
0.7000	0.072
0.8000	0.050
0.9000	0.041
1.0000	0.036
1.1000	0.024
1.2000	0.023
1.3000	0.020
1.4000	0.012
1.5000	0.017
1.6000	0.012
1.7000	0.005
1.8000	0.020
1.9000	0.060
2.0000	0.092
2.1000	0.115
2.2000	0.133
2.3000	0.137
2.4000	0.142
2.5000	0.164
2.6000	0.160
2.7000	0.149
2.8000	0.125
2.9000	0.102
3.0000	0.074
3.1000	0.061
3.2000	0.042
3.3000	0.026
3.4000	0.019
3.5000	0.017
3.6000	0.013
3.7000	0.009
3.8000	0.003
3.9000	0.004
4.0000	0.000
4.1000	-0.008
4.2000	-0.007
4.3000	-0.006
4.4000	-0.003
4.5000	-0.002
4.6000	-0.003
4.7000	-0.005
4.8000	-0.009
4.9000	-0.010
5.0000	-0.012
5.1000	-0.007
5.2000	-0.003
5.3000	0.000
5.4000	0.003
5.5000	-0.006
5.6000	-0.015
5.7000	-0.003
5.8000	-0.008
5.9000	-0.015
6.0000	-0.005
6.1000	-0.002
6.2000	-0.006
6.3000	-0.003
6.4000	-0.003
6.5000	-0.006
6.6000	-0.012
6.7000	-0.014
6.8000	-0.005
6.9000	0.000
7.0000	-0.006
7.1000	-0.008
7.2000	-0.009
7.3000	0.002
7.4000	-0.004
7.5000	-0.013
7.6000	-0.006
7.7000	-0.002
7.8000	-0.009
7.9000	-0.002
8.0000	-0.002
8.1000	-0.007
8.2000	-0.007
8.3000	-0.005
8.4000	-0.009
8.5000	-0.003
8.6000	-0.008
8.7000	-0.006
8.8000	-0.003
8.9000	-0.004
9.0000	-0.005
9.1000	-0.006
9.2000	-0.007
9.3000	0.000
9.4000	-0.004
9.5000	-0.009
9.6000	-0.007
9.7000	-0.003
9.8000	-0.005
9.9000	-0.002
10.0000	-0.009
10.1000	-0.006
10.2000	0.001
10.3000	-0.008
10.4000	-0.014
10.5000	-0.002
10.6000	-0.002
10.7000	-0.004
10.8000	0.000
10.9000	-0.004
11.0000	-0.005
11.1000	-0.003
11.2000	-0.004
11.3000	-0.003
