Voltage, ChA, Run #6
Time ( s )	Voltage ( V )
0.0000	0.034
0.1000	0.025
0.2000	0.003
0.3000	-0.009
0.4000	-0.016
0.5000	-0.017
0.6000	-0.028
0.7000	-0.039
0.8000	-0.053
0.9000	-0.054
1.0000	-0.059
1.1000	-0.071
1.2000	-0.096
1.3000	-0.103
1.4000	-0.098
1.5000	-0.098
1.6000	-0.116
1.7000	-0.125
1.8000	-0.133
1.9000	-0.143
2.0000	-0.136
2.1000	-0.149
2.2000	-0.154
2.3000	-0.153
2.4000	-0.150
2.5000	-0.132
2.6000	-0.146
2.7000	-0.162
2.8000	-0.142
2.9000	-0.129
3.0000	-0.141
3.1000	-0.138
3.2000	-0.137
3.3000	-0.124
3.4000	-0.126
3.5000	-0.133
3.6000	-0.140
3.7000	-0.131
3.8000	-0.130
3.9000	-0.124
4.0000	-0.130
4.1000	-0.133
4.2000	-0.132
4.3000	-0.127
4.4000	-0.126
4.5000	-0.132
4.6000	-0.128
4.7000	-0.119
4.8000	-0.110
4.9000	-0.120
5.0000	-0.116
5.1000	-0.111
5.2000	-0.108
5.3000	-0.100
5.4000	-0.102
5.5000	-0.096
5.6000	-0.094
5.7000	-0.088
5.8000	-0.083
5.9000	-0.078
6.0000	-0.082
6.1000	-0.067
6.2000	-0.062
6.3000	-0.064
6.4000	-0.060
6.5000	-0.055
6.6000	-0.051
6.7000	-0.043
6.8000	-0.041
6.9000	-0.040
7.0000	-0.034
7.1000	-0.027
7.2000	-0.016
7.3000	-0.020
7.4000	-0.016
7.5000	-0.009
7.6000	0.000
7.7000	-0.003
7.8000	-0.001
7.9000	0.002
8.0000	0.016
8.1000	0.018
8.2000	0.015
8.3000	0.025
8.4000	0.028
8.5000	0.029
8.6000	0.037
8.7000	0.042
8.8000	0.043
8.9000	0.044
9.0000	0.051
9.1000	0.060
9.2000	0.060
9.3000	0.059
9.4000	0.061
9.5000	0.054
9.6000	0.094
9.7000	0.070
9.8000	0.066
9.9000	0.086
10.0000	0.141
10.1000	0.109
10.2000	0.081
10.3000	0.103
10.4000	0.101
10.5000	0.096
10.6000	0.118
10.7000	0.116
10.8000	0.096
10.9000	0.105
11.0000	0.106
11.1000	0.106
11.2000	0.100
11.3000	0.100
11.4000	0.098
11.5000	0.092
11.6000	0.105
11.7000	0.092
11.8000	0.090
11.9000	0.066
12.0000	0.088
12.1000	0.086
12.2000	0.076
12.3000	0.058
12.4000	0.067
12.5000	0.075
12.6000	0.070
12.7000	0.047
12.8000	0.045
12.9000	0.057
13.0000	0.052
13.1000	0.050
13.2000	0.026
13.3000	0.031
