Voltage, ChA, Run #15
Time ( s )	Voltage ( V )
33.5000	-0.015
33.6000	-0.017
33.7000	-0.009
33.8000	-0.014
33.9000	-0.010
34.0000	-0.015
34.1000	-0.011
34.2000	-0.014
34.3000	-0.015
34.4000	-0.013
34.5000	-0.013
34.6000	-0.014
34.7000	-0.015
34.8000	-0.007
34.9000	-0.010
35.0000	-0.016
35.1000	-0.011
35.2000	-0.008
35.3000	-0.008
35.4000	-0.021
35.5000	-0.008
35.6000	-0.005
35.7000	-0.006
35.8000	-0.014
35.9000	-0.007
36.0000	-0.003
36.1000	-0.004
36.2000	-0.013
36.3000	-0.010
36.4000	-0.004
36.5000	-0.001
36.6000	-0.006
36.7000	-0.009
36.8000	-0.005
36.9000	0.001
37.0000	-0.004
37.1000	-0.010
37.2000	-0.006
37.3000	0.002
37.4000	-0.005
37.5000	-0.007
37.6000	0.000
37.7000	0.001
37.8000	-0.001
37.9000	-0.006
38.0000	0.001
38.1000	0.009
38.2000	-0.003
38.3000	-0.005
38.4000	0.004
38.5000	0.006
38.6000	0.003
38.7000	-0.001
38.8000	0.000
38.9000	0.007
39.0000	0.004
39.1000	0.004
39.2000	0.007
39.3000	0.008
39.4000	0.004
39.5000	0.004
39.6000	0.001
39.7000	0.006
39.8000	0.003
39.9000	0.001
40.0000	0.003
40.1000	0.010
40.2000	0.005
40.3000	0.008
40.4000	0.003
40.5000	0.001
40.6000	0.004
40.7000	0.003
40.8000	0.006
40.9000	0.007
41.0000	0.008
41.1000	0.009
41.2000	0.005
41.3000	0.003
41.4000	0.009
41.5000	0.002
41.6000	0.005
41.7000	0.009
41.8000	0.006
41.9000	0.003
42.0000	0.002
42.1000	0.007
42.2000	0.004
42.3000	0.003
42.4000	0.004
42.5000	0.006
42.6000	0.002
42.7000	0.000
42.8000	0.001
42.9000	-0.001
43.0000	-0.002
43.1000	0.004
43.2000	0.003
43.3000	0.002
43.4000	-0.002
43.5000	-0.002
43.6000	0.001
43.7000	-0.007
43.8000	-0.004
43.9000	0.000
44.0000	-0.002
44.1000	-0.002
44.2000	0.000
44.3000	-0.003
44.4000	-0.005
44.5000	-0.009
44.6000	-0.009
44.7000	-0.002
44.8000	0.000
44.9000	-0.005
45.0000	-0.004
45.1000	-0.006
45.2000	-0.008
45.3000	-0.003
45.4000	-0.007
45.5000	-0.005
45.6000	-0.005
45.7000	-0.006
45.8000	-0.004
45.9000	-0.001
46.0000	-0.010
46.1000	-0.008
46.2000	-0.006
46.3000	-0.002
46.4000	-0.001
46.5000	-0.007
46.6000	-0.008
46.7000	-0.003
46.8000	-0.006
46.9000	-0.007
47.0000	-0.004
47.1000	-0.004
47.2000	-0.004
47.3000	0.000
47.4000	-0.005
47.5000	-0.002
47.6000	-0.011
47.7000	-0.010
47.8000	0.002
47.9000	0.005
48.0000	-0.004
48.1000	-0.005
48.2000	-0.001
48.3000	0.001
48.4000	-0.005
48.5000	-0.010
48.6000	-0.004
48.7000	0.002
48.8000	0.000
48.9000	0.002
49.0000	0.000
49.1000	-0.002
49.2000	-0.005
49.3000	-0.004
49.4000	0.000
49.5000	0.002
49.6000	0.001
49.7000	-0.003
49.8000	0.004
49.9000	0.000
50.0000	-0.003
50.1000	-0.004
50.2000	-0.003
50.3000	0.005
50.4000	0.009
50.5000	0.000
50.6000	0.000
50.7000	0.000
50.8000	0.001
50.9000	-0.001
51.0000	-0.002
51.1000	0.001
51.2000	0.007
51.3000	0.008
51.4000	0.001
51.5000	-0.002
51.6000	0.000
51.7000	0.001
51.8000	-0.002
51.9000	-0.001
52.0000	0.012
52.1000	0.002
52.2000	0.004
52.3000	0.004
52.4000	0.004
52.5000	0.000
52.6000	0.002
52.7000	0.005
52.8000	0.013
52.9000	0.004
53.0000	0.000
53.1000	0.005
53.2000	0.003
53.3000	0.001
53.4000	-0.001
53.5000	0.003
53.6000	0.008
53.7000	0.007
53.8000	-0.002
53.9000	0.003
54.0000	0.002
54.1000	0.001
54.2000	0.004
54.3000	0.001
54.4000	-0.001
54.5000	0.001
54.6000	0.006
54.7000	-0.001
54.8000	-0.004
54.9000	0.003
55.0000	0.003
55.1000	0.003
55.2000	0.000
55.3000	-0.007
55.4000	0.001
55.5000	0.002
55.6000	-0.001
55.7000	-0.005
55.8000	0.002
55.9000	-0.003
56.0000	-0.003
