Voltage, ChA, Run #3
Time ( s )	Voltage ( V )
0.0000	-0.059
0.1000	0.016
0.2000	-0.018
0.3000	-0.072
0.4000	-0.056
0.5000	0.009
0.6000	-0.045
0.7000	-0.091
0.8000	-0.025
0.9000	-0.023
1.0000	-0.045
1.1000	-0.066
1.2000	-0.046
1.3000	-0.029
1.4000	-0.059
1.5000	-0.073
1.6000	-0.002
1.7000	0.005
1.8000	-0.033
1.9000	-0.027
2.0000	0.017
2.1000	0.004
2.2000	-0.022
2.3000	-0.012
2.4000	0.001
2.5000	-0.003
2.6000	-0.001
2.7000	0.020
2.8000	0.013
2.9000	0.026
3.0000	0.032
3.1000	0.043
3.2000	0.033
3.3000	0.027
3.4000	0.035
3.5000	0.043
3.6000	0.037
3.7000	0.029
3.8000	0.034
3.9000	0.039
4.0000	0.020
4.1000	0.018
4.2000	0.020
4.3000	0.031
4.4000	0.040
4.5000	0.035
4.6000	0.028
4.7000	0.021
4.8000	0.027
4.9000	0.020
5.0000	0.019
5.1000	0.021
5.2000	0.028
5.3000	0.021
5.4000	0.022
5.5000	0.021
5.6000	0.010
5.7000	0.011
5.8000	0.012
5.9000	0.009
6.0000	0.008
6.1000	0.011
6.2000	0.016
6.3000	0.007
6.4000	-0.003
6.5000	0.006
6.6000	-0.002
6.7000	-0.006
6.8000	-0.001
6.9000	-0.006
7.0000	-0.003
7.1000	-0.005
7.2000	-0.010
7.3000	-0.009
7.4000	-0.014
7.5000	-0.014
7.6000	-0.011
7.7000	-0.013
7.8000	-0.019
7.9000	-0.020
8.0000	-0.020
8.1000	-0.028
8.2000	-0.026
8.3000	-0.024
8.4000	-0.021
8.5000	-0.027
8.6000	-0.027
8.7000	-0.024
8.8000	-0.029
8.9000	-0.033
9.0000	-0.030
9.1000	-0.029
9.2000	-0.032
9.3000	-0.031
9.4000	-0.033
9.5000	-0.029
9.6000	-0.035
9.7000	-0.032
9.8000	-0.030
9.9000	-0.032
10.0000	-0.035
10.1000	-0.031
10.2000	-0.031
10.3000	-0.034
10.4000	-0.032
10.5000	-0.030
10.6000	-0.025
10.7000	-0.027
10.8000	-0.029
10.9000	-0.028
11.0000	-0.024
11.1000	-0.029
11.2000	-0.023
11.3000	-0.023
11.4000	-0.022
11.5000	-0.021
11.6000	-0.019
11.7000	-0.013
11.8000	-0.014
11.9000	-0.021
12.0000	-0.014
12.1000	-0.015
12.2000	-0.012
12.3000	-0.008
12.4000	-0.010
12.5000	-0.007
12.6000	-0.004
12.7000	0.000
12.8000	-0.007
12.9000	-0.002
13.0000	-0.004
13.1000	-0.002
13.2000	0.000
13.3000	0.004
13.4000	0.010
13.5000	0.008
13.6000	0.010
13.7000	0.009
13.8000	0.014
13.9000	0.004
14.0000	0.015
14.1000	0.013
14.2000	0.014
14.3000	0.023
14.4000	0.021
14.5000	0.023
14.6000	0.021
14.7000	0.019
14.8000	0.020
14.9000	0.020
15.0000	0.022
15.1000	0.026
15.2000	0.025
15.3000	0.027
15.4000	0.033
15.5000	0.023
15.6000	0.027
15.7000	0.025
15.8000	0.029
15.9000	0.027
16.0000	0.032
16.1000	0.024
16.2000	0.034
16.3000	0.027
16.4000	0.028
16.5000	0.025
16.6000	0.022
16.7000	0.021
16.8000	0.035
16.9000	0.023
17.0000	0.025
17.1000	0.022
17.2000	0.024
17.3000	0.024
17.4000	0.023
17.5000	0.016
17.6000	0.018
17.7000	0.023
17.8000	0.015
17.9000	0.017
18.0000	0.010
18.1000	0.018
18.2000	0.016
18.3000	0.010
18.4000	0.011
18.5000	0.011
18.6000	0.009
18.7000	0.004
18.8000	0.002
18.9000	-0.001
19.0000	0.006
19.1000	0.007
19.2000	0.004
19.3000	-0.006
19.4000	-0.005
19.5000	-0.009
19.6000	-0.007
19.7000	-0.011
19.8000	-0.009
19.9000	-0.006
20.0000	-0.007
20.1000	-0.011
20.2000	-0.016
20.3000	-0.025
20.4000	-0.018
20.5000	-0.017
20.6000	-0.023
20.7000	-0.011
20.8000	-0.016
20.9000	-0.018
21.0000	-0.026
21.1000	-0.026
21.2000	-0.030
21.3000	-0.022
21.4000	-0.029
21.5000	-0.025
21.6000	-0.020
21.7000	-0.023
21.8000	-0.024
21.9000	-0.031
22.0000	-0.032
22.1000	-0.027
22.2000	-0.027
22.3000	-0.025
22.4000	-0.019
22.5000	-0.031
22.6000	-0.028
22.7000	-0.026
22.8000	-0.030
22.9000	-0.024
23.0000	-0.025
23.1000	-0.023
23.2000	-0.020
23.3000	-0.021
23.4000	-0.028
23.5000	-0.022
23.6000	-0.024
23.7000	-0.017
23.8000	-0.018
23.9000	-0.017
24.0000	-0.016
24.1000	-0.013
24.2000	-0.014
24.3000	-0.019
24.4000	-0.013
24.5000	-0.014
24.6000	-0.006
24.7000	-0.008
24.8000	-0.006
24.9000	-0.010
25.0000	-0.003
25.1000	-0.007
25.2000	-0.005
25.3000	-0.003
25.4000	0.002
25.5000	0.000
25.6000	0.002
25.7000	0.005
25.8000	0.007
25.9000	-0.007
26.0000	0.008
26.1000	0.009
26.2000	0.013
26.3000	0.014
26.4000	0.010
26.5000	0.014
26.6000	0.014
26.7000	0.011
26.8000	0.015
26.9000	0.017
27.0000	0.012
27.1000	0.028
27.2000	0.019
27.3000	0.019
27.4000	0.016
27.5000	0.024
27.6000	0.019
27.7000	0.022
27.8000	0.020
27.9000	0.022
28.0000	0.023
28.1000	0.025
28.2000	0.023
28.3000	0.024
28.4000	0.022
28.5000	0.026
28.6000	0.025
28.7000	0.024
28.8000	0.020
28.9000	0.022
29.0000	0.024
29.1000	0.019
29.2000	0.019
29.3000	0.023
29.4000	0.026
29.5000	0.017
29.6000	0.022
29.7000	0.019
29.8000	0.020
29.9000	0.021
30.0000	0.013
30.1000	0.013
30.2000	0.020
30.3000	0.016
30.4000	0.010
30.5000	0.013
30.6000	0.006
30.7000	0.009
30.8000	0.009
30.9000	0.007
31.0000	0.003
31.1000	0.002
31.2000	0.006
31.3000	0.008
31.4000	0.000
31.5000	-0.006
31.6000	0.003
31.7000	-0.005
31.8000	0.001
31.9000	-0.010
32.0000	-0.010
32.1000	0.001
32.2000	-0.003
32.3000	-0.016
32.4000	-0.010
32.5000	-0.023
32.6000	-0.007
32.7000	-0.013
32.8000	-0.019
32.9000	-0.016
33.0000	-0.015
33.1000	-0.015
33.2000	-0.016
33.3000	-0.021
33.4000	-0.020
33.5000	-0.017
33.6000	-0.024
33.7000	-0.019
33.8000	-0.024
33.9000	-0.025
34.0000	-0.017
34.1000	-0.024
34.2000	-0.024
34.3000	-0.024
34.4000	-0.017
34.5000	-0.028
34.6000	-0.018
34.7000	-0.027
34.8000	-0.022
34.9000	-0.019
35.0000	-0.029
35.1000	-0.027
35.2000	-0.020
35.3000	-0.016
35.4000	-0.021
35.5000	-0.022
35.6000	-0.020
35.7000	-0.017
35.8000	-0.021
35.9000	-0.017
36.0000	-0.020
36.1000	-0.014
36.2000	-0.009
36.3000	-0.015
36.4000	-0.016
36.5000	-0.017
36.6000	-0.018
36.7000	-0.015
36.8000	-0.003
36.9000	-0.009
37.0000	-0.004
37.1000	-0.005
37.2000	0.000
37.3000	-0.009
37.4000	-0.008
37.5000	-0.011
37.6000	0.001
37.7000	0.003
37.8000	0.000
37.9000	0.004
38.0000	0.003
38.1000	0.003
38.2000	0.002
38.3000	-0.001
38.4000	0.007
38.5000	0.011
38.6000	0.005
38.7000	0.014
38.8000	0.010
38.9000	0.010
39.0000	0.008
39.1000	0.014
39.2000	0.015
39.3000	0.017
39.4000	0.012
39.5000	0.018
39.6000	0.018
39.7000	0.015
39.8000	0.019
39.9000	0.013
40.0000	0.024
40.1000	0.026
40.2000	0.022
40.3000	0.018
40.4000	0.016
40.5000	0.015
40.6000	0.016
40.7000	0.022
40.8000	0.019
40.9000	0.023
41.0000	0.027
41.1000	0.017
41.2000	0.019
41.3000	0.014
41.4000	0.019
41.5000	0.019
41.6000	0.020
41.7000	0.022
41.8000	0.023
41.9000	0.019
42.0000	0.015
42.1000	0.004
42.2000	0.004
42.3000	0.020
42.4000	0.016
42.5000	0.013
42.6000	0.015
42.7000	0.016
42.8000	0.008
42.9000	0.003
43.0000	0.001
43.1000	0.009
43.2000	0.005
43.3000	0.006
43.4000	0.015
43.5000	0.003
43.6000	0.001
43.7000	-0.009
43.8000	0.002
43.9000	-0.005
44.0000	-0.001
44.1000	-0.010
44.2000	0.003
44.3000	0.000
44.4000	-0.007
44.5000	-0.010
44.6000	-0.016
44.7000	-0.007
44.8000	-0.009
44.9000	-0.009
45.0000	-0.012
45.1000	-0.012
45.2000	-0.016
45.3000	-0.012
45.4000	-0.021
45.5000	-0.016
45.6000	-0.014
45.7000	-0.015
45.8000	-0.013
45.9000	-0.018
46.0000	-0.021
46.1000	-0.021
46.2000	-0.018
46.3000	-0.024
46.4000	-0.017
46.5000	-0.019
46.6000	-0.017
46.7000	-0.014
46.8000	-0.023
46.9000	-0.022
47.0000	-0.022
47.1000	-0.018
47.2000	-0.022
47.3000	-0.015
47.4000	-0.021
47.5000	-0.017
47.6000	-0.018
47.7000	-0.023
47.8000	-0.019
47.9000	-0.019
48.0000	-0.018
48.1000	-0.010
48.2000	-0.014
48.3000	-0.017
48.4000	-0.012
48.5000	-0.012
48.6000	-0.015
48.7000	-0.014
48.8000	-0.014
48.9000	-0.006
49.0000	-0.007
49.1000	-0.009
49.2000	-0.003
49.3000	-0.009
49.4000	-0.007
49.5000	-0.005
49.6000	-0.006
49.7000	-0.006
49.8000	0.001
49.9000	0.000
50.0000	0.002
50.1000	0.001
50.2000	0.004
50.3000	0.004
50.4000	0.003
50.5000	0.003
50.6000	0.007
50.7000	0.004
50.8000	0.005
50.9000	0.010
51.0000	0.011
51.1000	0.012
